"","document","topic","gamma"
"288","The Accidental Spy ",1,8.14374737990764e-05
"289","The Adventures of Ace X and Kid Velvet ",1,0.000132036116876839
"290","The Adventures of Miss Girl ",1,0.000403898124700766
"291","The American Dream ",1,0.00020297382167458
"292","The Ballad of Des & Mo ",1,0.000259850942961954
"293","The Beast of War ",1,0.000133767624283882
"294","The Bill of Rights ",1,0.000558775425382895
"295","The City ",1,0.000297779837619594
"296","The Crown Prince ",1,0.000529755685176326
"297","The Cub Reporter ",1,0.000281352876104282
"298","The Dark Voice ",1,0.000420550276284197
"299","The Desperados Are in Town ",1,0.000273800794750852
"300","The Farmer ",1,0.000169288022382433
"301","The First Love ",1,0.000195205233872032
"302","The French Encounter ",1,0.997374823750326
"303","The Gift of Giving ",1,0.000156316756342516
"304","The Girl with the Wandering Eye ",1,0.99750841369221
"305","The Great American Bash ",1,0.000125536278170191
"306","The Immortal ",1,0.00017509998666245
"307","The Irish in Australia ",1,0.000281352876104275
"308","The Iron Trial ",1,0.000101745055621984
"309","The Killer ",1,0.000127100495483841
"310","The King of the Streets ",1,0.000143154165795659
"311","The Last Stagecoach West ",1,8.9277937002017e-05
"312","The Law Rides ",1,0.000361013895720707
"313","The Legend of Earl Durand ",1,0.000128704185817258
"314","The Locator 2 Braxton Returns ",1,0.000306734272636942
"315","The Lone Hand ",1,0.000111779633313969
"316","The Lone Rider in Texas Justice ",1,9.00662282748166e-05
"317","The Lost City ",1,0.000102770142963137
"318","The Mounted Stranger ",1,0.000337149161893284
"319","The New Maverick ",1,0.000361013895720696
"320","The Nexum Agency ",1,0.000151668277267467
"321","The Night of Pistol Pete ",1,0.000163849487592437
"322","The Night the World Exploded ",1,7.59781821336566e-05
"323","The One Way Trail ",1,0.000306734272636957
"324","The Only Good Indian ",1,0.000147288282969981
"325","The Priest ",1,0.00014728828296997
"326","The ROLE Model ",1,0.000116903906712516
"327","The Race Against Cancer ",1,0.000348673654518572
"328","The Red Sneakers ",1,0.000202973821674606
"329","The Return of Captain Nemo ",1,0.000202973821674589
"330","The Rise of the Robots ",1,0.0002304925793131
"331","The Road to Denver ",1,0.000403898124700768
"332","The Saga of Hemp Brown ",1,0.000273800794750856
"333","The Sagebrush Family Trails West ",1,6.06249503178356e-05
"334","The San Francisco Story ",1,0.000128704185817246
"335","The Seventh Swords ",1,0.00023582127008038
"336","The Song the Zombie Sang ",1,9.25168986040599e-05
"337","The Soul of Buddha ",1,0.000188009392263242
"338","The Stand at Apache River ",1,0.000145191802160117
"339","The Stranger of the Hills ",1,0.000403898124700763
"340","The Super Riders V3 ",1,0.000374259676169896
"341","The Testing Block ",1,0.00028135287610428
"342","The Ugly Little Boy ",1,0.000241402176649025
"343","The Wandering Day ",1,0.000147288282969959
"344","The War of Loong ",1,0.000139245787016655
"345","The Wereth Eleven ",1,0.000241402176649019
"346","The Wolf in Sheep's Clothing ",1,0.000178158234014255
"347","The Xtreme Boot Camps Cardio & Fat Burning Workout ",1,0.000259850942961973
"348","Trail of the Mounties ",1,0.000247253639758245
"349","Triumphs of a Man Called Horse ",1,0.000156316756342515
"350","Twin Blades of the Ninja ",1,0.000215859681784842
"351","Vigilantes of Dodge City ",1,0.000125536278170197
"352","WWF in Your House: Revenge of the Taker ",1,0.000281352876104289
"353","Weird Tales 5: The Strange Case of Rhyolite Nevada ",1,8.5534784574513e-05
