"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","cluster"
"21","Adventures of Frank and Jesse James ",0.000438634562333112,0.000438634562333108,0.000438634562333113,0.000438634562333115,0.000438634562333104,0.000438634562333117,0.000438634562333118,0.989472770504005,0.000438634562333105,0.000438634562333111,0.000438634562333115,0.000438634562333111,0.000438634562333108,0.000438634562333108,0.000438634562333116,0.000438634562333112,0.000438634562333114,0.000438634562333117,0.000438634562333085,0.000438634562333112,0.000438634562333105,0.000438634562333101,0.000438634562333114,0.000438634562333117,0.000438634562333115,5
"22","American Bandits: Frank and Jesse James ",0.000297779837619605,0.000297779837619597,0.0002977798376196,0.000297779837619595,0.000297779837619588,0.000297779837619611,0.000297779837619603,0.99285328389713,0.000297779837619598,0.00029777983761959,0.000297779837619595,0.000297779837619598,0.00029777983761959,0.000297779837619605,0.000297779837619594,0.000297779837619594,0.000297779837619599,0.000297779837619597,0.0002977798376196,0.000297779837619597,0.000297779837619589,0.0002977798376196,0.000297779837619604,0.000297779837619584,0.00029777983761958,5
"23","Call of the Forest ",0.000361013895720705,0.000361013895720697,0.0003610138957207,0.000361013895720707,0.000361013895720691,0.000361013895720696,0.000361013895720698,0.656944783719485,0.000361013895720705,0.334751896678939,0.00036101389572069,0.000361013895720713,0.000361013895720706,0.000361013895720704,0.000361013895720705,0.000361013895720697,0.000361013895720706,0.000361013895720695,0.000361013895720698,0.000361013895720706,0.000361013895720703,0.000361013895720704,0.000361013895720706,0.000361013895720705,0.000361013895720706,5
"24","Law of the Northwest ",0.000163849487592437,0.00016384948759244,0.000163849487592446,0.000163849487592457,0.000163849487592426,0.000163849487592438,0.000163849487592438,0.996067612297781,0.000163849487592441,0.000163849487592456,0.000163849487592451,0.000163849487592439,0.000163849487592449,0.000163849487592434,0.000163849487592459,0.000163849487592438,0.000163849487592436,0.000163849487592439,0.000163849487592448,0.000163849487592446,0.000163849487592452,0.000163849487592441,0.000163849487592446,0.000163849487592451,0.000163849487592436,5
"25","Overland with Kit Carson ",0.000188009392263232,0.000188009392263256,0.000188009392263248,0.000188009392263248,0.000188009392263239,0.000188009392263238,0.000188009392263241,0.995487774585682,0.000188009392263245,0.00018800939226325,0.00018800939226321,0.000188009392263245,0.000188009392263243,0.00018800939226325,0.000188009392263244,0.000188009392263241,0.000188009392263243,0.000188009392263243,0.000188009392263241,0.000188009392263241,0.000188009392263254,0.000188009392263239,0.000188009392263246,0.000188009392263247,0.000188009392263251,5
"26","Riders of the Black Hills ",0.000374259676169875,0.000374259676169889,0.000374259676169886,0.000374259676169898,0.000374259676169879,0.000374259676169867,0.000374259676169893,0.991017767771923,0.000374259676169874,0.000374259676169887,0.000374259676169886,0.00037425967616988,0.000374259676169864,0.00037425967616989,0.000374259676169869,0.000374259676169895,0.000374259676169893,0.000374259676169897,0.000374259676169862,0.000374259676169876,0.000374259676169878,0.00037425967616989,0.000374259676169897,0.000374259676169893,0.0003742596761699,5
"27","The Adventures of the Masked Phantom ",0.000337149161893266,0.000337149161893279,0.000337149161893273,0.000337149161893269,0.000337149161893262,0.000337149161893255,0.000337149161893275,0.991908420114561,0.000337149161893272,0.000337149161893253,0.000337149161893283,0.000337149161893272,0.000337149161893281,0.000337149161893273,0.000337149161893275,0.000337149161893282,0.000337149161893282,0.000337149161893255,0.000337149161893272,0.000337149161893262,0.000337149161893264,0.000337149161893273,0.000337149161893281,0.000337149161893264,0.00033714916189329,5
"28","The Call of the Canyon ",0.0002304925793131,0.000230492579313085,0.000230492579313081,0.000230492579313081,0.00023049257931309,0.000230492579313091,0.000230492579313081,0.994468178096486,0.000230492579313094,0.000230492579313106,0.000230492579313094,0.000230492579313093,0.00023049257931309,0.000230492579313098,0.000230492579313095,0.00023049257931309,0.000230492579313085,0.000230492579313079,0.000230492579313109,0.000230492579313095,0.000230492579313087,0.000230492579313086,0.000230492579313086,0.000230492579313096,0.000230492579313097,5
"29","The Culpepper Cattle Co. ",0.000181325209363143,0.000181325209363139,0.000181325209363149,0.000181325209363139,0.00018132520936314,0.000181325209363141,0.000181325209363139,0.995648194975285,0.000181325209363132,0.000181325209363135,0.000181325209363136,0.000181325209363129,0.000181325209363137,0.000181325209363134,0.000181325209363117,0.000181325209363147,0.000181325209363136,0.000181325209363141,0.000181325209363143,0.000181325209363143,0.000181325209363135,0.000181325209363137,0.000181325209363141,0.000181325209363137,0.000181325209363122,5
"30","The Great Sioux Uprising ",0.000191539752837768,0.000191539752837762,0.000191539752837759,0.000191539752837774,0.000191539752837773,0.000191539752837774,0.000191539752837774,0.995403045931894,0.000191539752837762,0.000191539752837764,0.00019153975283776,0.000191539752837773,0.000191539752837767,0.000191539752837767,0.000191539752837772,0.000191539752837772,0.000191539752837763,0.000191539752837778,0.000191539752837765,0.00019153975283777,0.00019153975283776,0.000191539752837767,0.000191539752837766,0.000191539752837775,0.000191539752837769,5
